,ion,covalent,vdw,atomic_radius,pauling_en,en_allen,polarizability,melting_point,boiling_point,density,specific_heat,thermal_conductivity
0,13.598434005136,0.0,110.00000000000001,25.0,2.2,13.61,4.50711,14.01,20.28,0.0708,0.0,0.1815
1,24.587387936,0.0,140.0,120.0,0.0,24.59,1.38375,0.95,4.216,0.147,5.188,0.152
2,5.391714761,150.0,182.0,145.0,0.98,5.392,164.1125,553.69,1118.15,0.534,3.489,84.8
3,9.322699,114.99999999999999,153.0,105.0,1.57,9.323,37.74,1551.0,3243.0,1.848,1.824,201.0
4,8.298019,0.0,192.0,85.0,2.04,12.13,20.5,2573.0,3931.0,2.34,1.025,27.4
5,11.260296,77.0,170.0,70.0,2.55,15.05,11.3,3820.0,5100.0,2.25,0.711,1.59
6,14.53413,65.0,155.0,65.0,3.04,18.13,7.4,63.29,77.4,0.808,0.0,0.026
7,13.618054,65.0,152.0,60.0,3.44,21.36,5.3,54.8,90.19,1.149,0.0,0.027
8,17.42282,67.0,147.0,50.0,3.98,24.8,3.74,53.53,85.01,1.108,0.0,0.028
9,21.56454,0.0,154.0,160.0,0.0,28.31,2.6611,48.0,27.1,1.204,1.029,0.0
10,5.1390767,177.0,227.0,180.0,0.93,5.14,162.7,370.96,1156.1,0.971,1.222,142.0
11,7.646235,142.0,173.0,150.0,1.31,7.646,71.2,922.0,1363.0,1.738,1.025,156.0
12,5.9857684,135.0,184.0,125.0,1.61,9.539,57.8,933.5,2740.0,2.6989,0.9,237.0
13,8.151683,117.0,210.0,110.0,1.9,11.33,37.3,1683.0,2628.0,2.33,0.703,149.0
14,10.486686,0.0,180.0,100.0,2.19,13.33,25.0,317.3,553.0,1.82,0.757,0.0
15,10.36001,102.0,180.0,100.0,2.58,15.31,19.4,386.0,717.824,2.07,0.732,0.27
16,12.96763,105.0,175.0,100.0,3.16,16.97,14.6,172.2,238.6,1.56,0.0,0.009
17,15.7596112,0.0,188.0,71.0,0.0,19.17,11.083,83.8,87.3,1.4,0.138,0.0177
18,4.34066354,206.99999999999997,275.0,220.0,0.82,4.34,289.7,336.8,1047.0,0.856,0.753,79.0
19,6.1131552,170.0,231.0,180.0,1.0,6.1129999999999995,160.8,1112.0,1757.0,1.55,0.653,0.0
20,6.56149,0.0,215.0,160.0,1.36,7.042000000000001,97.0,1814.0,3104.0,2.99,0.556,15.8
21,6.82812,140.0,211.0,140.0,1.54,8.17,100.0,1933.0,3560.0,4.54,0.523,21.9
22,6.746187,0.0,206.99999999999997,135.0,1.63,9.062999999999999,87.0,2160.0,3650.0,6.11,0.485,30.7
23,6.76651,140.0,206.0,140.0,1.66,9.77,83.0,2130.0,2945.0,7.18,0.488,93.9
24,7.434018,147.0,204.99999999999997,140.0,1.55,10.34,68.0,1517.0,2235.0,7.21,0.477,0.0
25,7.9024678,140.0,204.0,140.0,1.83,10.64,62.0,1808.0,3023.0,7.874,0.443,80.4
26,7.88101,137.0,200.0,135.0,1.88,10.86,55.0,1768.0,3143.0,8.9,0.456,100.0
27,7.639877,135.0,197.0,135.0,1.91,11.13,49.0,1726.0,3005.0,8.902,0.443,90.9
28,7.72638,137.0,196.0,135.0,1.9,10.96,46.5,1356.6,2840.0,8.96,0.385,401.0
29,9.394199,132.0,200.99999999999997,135.0,1.65,9.395,38.67,692.73,1180.0,7.133,0.388,116.0
30,5.9993018,0.0,187.0,130.0,1.81,10.39,50.0,302.93,2676.0,5.91,0.372,28.1
31,7.899435,0.0,211.0,125.0,2.01,11.8,40.0,1210.6,3103.0,5.323,0.322,60.2
32,9.789,126.0,185.0,115.0,2.18,13.08,30.0,1090.0,876.0,5.73,0.328,0.0
33,9.752392,117.0,190.0,115.0,2.55,14.34,28.9,490.0,958.1,4.79,0.0,0.52
34,11.81381,119.0,185.0,115.0,2.96,15.88,21.0,265.9,331.9,3.12,0.0,0.005
35,13.9996049,0.0,202.0,0.0,0.0,17.54,16.78,116.6,120.85,2.155,0.247,0.0095
36,4.177128,225.0,303.0,235.0,0.82,4.177,319.8,312.2,961.0,1.532,0.36,58.2
37,5.6948672,195.0,249.00000000000003,200.0,0.95,5.695,197.2,1042.0,1657.0,2.54,0.301,0.0
38,6.21726,0.0,231.99999999999997,180.0,1.22,6.631,162.0,1795.0,3611.0,4.47,0.284,0.0
39,6.6339,0.0,223.0,155.0,1.33,7.808,112.0,2125.0,4650.0,6.506,0.281,22.7
40,6.75885,0.0,218.00000000000003,145.0,1.6,8.34,98.0,2741.0,5015.0,8.57,0.268,53.7
41,7.09243,0.0,217.0,145.0,2.16,8.71,87.0,2890.0,4885.0,10.22,0.251,0.0
42,7.119381,0.0,216.0,135.0,2.1,8.94,79.0,2445.0,5150.0,11.5,0.243,50.6
43,7.3605,0.0,213.0,130.0,2.2,9.1,72.0,2583.0,4173.0,12.41,0.238,117.0
44,7.4589,0.0,210.0,135.0,2.28,9.259,66.0,2239.0,4000.0,12.41,0.244,150.0
45,8.33686,0.0,210.0,140.0,2.2,9.402000000000001,26.14,1825.0,3413.0,12.02,0.244,71.8
46,7.576234,177.0,211.0,160.0,1.93,11.05,55.0,1235.1,2485.0,10.5,0.237,429.0
47,8.993822,160.0,218.00000000000003,155.0,1.69,8.995,46.0,594.1,1038.0,8.65,0.232,96.9
48,5.7863552,0.0,193.0,155.0,1.78,9.793,65.0,429.32,2353.0,7.31,0.234,81.8
49,7.343917,140.0,217.0,145.0,1.96,10.79,53.0,505.1,2543.0,7.31,0.222,66.8
50,8.608389,140.0,206.0,145.0,2.05,11.74,43.0,903.9,1908.0,6.691,0.205,24.43
51,9.00966,133.0,206.0,140.0,2.1,12.76,38.0,722.7,1263.0,6.24,0.201,14.3
52,10.45126,140.0,198.0,140.0,2.66,13.95,32.9,386.7,457.5,4.93,0.0,0.0
53,12.1298431,0.0,216.0,0.0,2.6,15.27,27.32,161.3,166.1,3.52,0.158,0.0057
54,3.893905548,237.0,343.0,260.0,0.79,3.898,400.9,301.6,951.6,1.873,0.241,35.9
55,5.211664,210.0,268.0,215.0,0.89,5.211,272.0,1002.0,1910.0,3.5,0.192,0.0
56,5.5769,0.0,243.00000000000003,195.0,1.1,0.0,215.0,1194.0,3730.0,6.15,0.197,13.4
57,5.5386,0.0,242.0,185.0,1.12,0.0,205.0,1072.0,3699.0,6.757,0.205,11.3
58,5.473,0.0,240.0,185.0,1.13,0.0,216.0,1204.0,3785.0,6.773,0.192,12.5
59,5.525,0.0,239.0,185.0,1.14,0.0,208.0,1294.0,3341.0,7.007,0.205,0.0
60,5.582,0.0,238.0,185.0,0.0,0.0,200.0,1441.0,3000.0,7.2,0.185,17.9
61,5.64371,0.0,236.0,185.0,1.17,0.0,192.0,1350.0,2064.0,7.52,0.18,0.0
