,id,Sn_ratio,Se_ratio,Cl,Cl_ratio,dopant_name,dopant,dopant_ratio,direction,temp,ZT
0,TY0554,0.99,0.99,Cl,0.01,Li,3,0.01,0,800,0.9917026012789156
1,TY0555,0.99,0.99,Cl,0.01,Li,3,0.01,1,800,0.6859946376991396
2,TY0556,0.98,0.99,Cl,0.01,Li,3,0.01,0,800,1.3300126720808996
3,TY0557,0.98,0.99,Cl,0.01,Li,3,0.01,1,800,0.8538929848299175
4,TY0558,0.97,0.99,Cl,0.01,Li,3,0.01,0,800,1.2537726323531275
5,TY0559,0.97,0.99,Cl,0.01,Li,3,0.01,1,800,0.8281310089568128
6,TY0560,0.98,0.99,Cl,0.01,Li,3,0.02,0,800,0.9621359751707962
7,TY0561,0.98,0.99,Cl,0.01,Li,3,0.02,1,800,0.6196889133602002
8,TY0562,0.97,0.99,Cl,0.01,Li,3,0.02,0,800,1.2414790956246935
9,TY0563,0.97,0.99,Cl,0.01,Li,3,0.02,1,800,0.8168961485573134
10,TY0564,0.96,0.99,Cl,0.01,Li,3,0.02,0,800,1.2872220180323637
11,TY0565,0.96,0.99,Cl,0.01,Li,3,0.02,1,800,0.8565879709063747
12,TY0566,0.97,0.99,Cl,0.01,Li,3,0.03,0,800,1.061345703782558
13,TY0567,0.97,0.99,Cl,0.01,Li,3,0.03,1,800,0.6760059538042983
14,TY0568,0.96,0.99,Cl,0.01,Li,3,0.03,0,800,1.337578253549973
15,TY0569,0.96,0.99,Cl,0.01,Li,3,0.03,1,800,0.8913211755441057
16,TY0570,0.95,0.99,Cl,0.01,Li,3,0.03,0,800,1.5024316438315253
17,TY0571,0.95,0.99,Cl,0.01,Li,3,0.03,1,800,0.9626500393466024
18,TY0572,0.96,0.99,Cl,0.01,Li,3,0.04,0,800,1.3821736253508834
19,TY0573,0.96,0.99,Cl,0.01,Li,3,0.04,1,800,0.8806545454455178
20,TY0574,0.95,0.99,Cl,0.01,Li,3,0.04,0,800,1.4844164149895835
21,TY0575,0.95,0.99,Cl,0.01,Li,3,0.04,1,800,0.9487140774563684
22,TY0576,0.95,0.99,Cl,0.01,Li,3,0.05,0,800,1.4179066998229284
23,TY0577,0.95,0.99,Cl,0.01,Li,3,0.05,1,800,0.9941878850324636
24,TY0578,0.99,0.99,Cl,0.01,Na,11,0.01,0,800,0.7982889045734837
25,TY0579,0.99,0.99,Cl,0.01,Na,11,0.01,1,800,0.5829217258667526
26,TY0580,0.98,0.99,Cl,0.01,Na,11,0.01,0,800,1.1856563083175415
