,id,Sn_ratio,Se_ratio,Cl,Cl_ratio,dopant,dopant_num,dopant_ratio,direction,ZT
0,TY0570,0.95,0.99,Cl,0.01,Li,3,0.03,0, 1.5024 
1,TY0594,0.95,0.99,Cl,0.01,Na,11,0.03,0, 1.4932 
2,TY0610,0.97,0.99,Cl,0.01,Mg,12,0.02,0, 1.9801 
3,TY0624,0.96,0.99,Cl,0.01,P,15,0.02,0, 1.2628 
4,TY0652,0.95,0.99,Cl,0.01,K,19,0.03,0, 1.5350 
5,TY0676,0.95,0.99,Cl,0.01,Ca,20,0.03,0, 1.9954 
6,TY0686,0.98,0.99,Cl,0.01,Mn,25,0.01,0, 1.7314 
7,TY0716,0.97,0.99,Cl,0.01,Ge,32,0.02,0, 1.8112 
8,TY0752,0.95,0.99,Cl,0.01,As,33,0.04,0, 1.7134 
9,TY0766,0.96,0.99,Cl,0.01,Rb,37,0.02,0, 1.4294 
10,TY0784,0.95,0.99,Cl,0.01,Sr,38,0.03,0, 1.6487 
11,TY0794,0.98,0.99,Cl,0.01,Y,39,0.01,0, 1.8924 
12,TY0798,0.99,0.99,Cl,0.01,Ag,47,0.01,0, 1.2334 
13,TY0834,0.97,0.99,Cl,0.01,Cd,48,0.03,0, 1.6287 
14,TY0842,0.98,0.99,Cl,0.01,In,49,0.01,0, 1.1041 
15,TY0882,0.95,0.99,Cl,0.01,Sb,51,0.04,0, 1.2561 
16,TY0902,0.95,0.99,Cl,0.01,Ba,56,0.03,0, 1.6654 
17,TY0912,0.98,0.99,Cl,0.01,Au,79,0.01,0, 1.2573 
18,TY0926,0.96,0.99,Cl,0.01,Hg,80,0.02,0, 1.6066 
19,TY0944,0.95,0.99,Cl,0.01,Tl,81,0.03,0, 1.3279 
20,TY0968,0.95,0.99,Cl,0.01,Pb,82,0.03,0, 2.0264 
21,TY0990,0.96,0.99,Cl,0.01,Bi,83,0.03,0, 1.1523 
22,TY1004,0.98,0.9801,Cl,0.01,F,9,0.0099,0, 1.0804 
23,TY1022,0.98,0.9603,Cl,0.01,S,16,0.0296999999999999,0, 1.6566 
24,TY1046,0.98,0.9603,Cl,0.01,Cl,17,0.0296999999999999,0, 1.2777 
25,TY1064,0.98,0.9702,Cl,0.01,Br,35,0.0198,0, 1.3771 
26,TY1098,0.99,0.9504,Cl,0.01,Te,52,0.0396,0, 1.4485 
27,TY1106,0.98,0.9801,Cl,0.01,I,53,0.0099,0, 1.4300 
