,id,Sn_ratio,Se_ratio,Na,Na_ratio,dopant,dopant_num,dopant_ratio,direction,ZT
0,TY0014,0.9504,1.0,Na,0.01,Li,3,0.0296999999999999,0, 1.7043 
1,TY0034,0.9504,1.0,Na,0.01,Na,11,0.0198,0, 1.5543 
2,TY0058,0.9504,1.0,Na,0.01,Mg,12,0.0198,0, 1.6510 
3,TY0070,0.9504,1.0,Na,0.01,P,15,0.0198,0, 1.3026 
4,TY0092,0.9504,1.0,Na,0.01,K,19,0.0198,0, 1.6016 
5,TY0116,0.9504,1.0,Na,0.01,Ca,20,0.0198,0, 1.7125 
6,TY0134,0.9603,1.0,Na,0.01,Mn,25,0.0099,0, 1.6909 
7,TY0172,0.9504,1.0,Na,0.01,Ge,32,0.0396,0, 2.3927 
8,TY0196,0.9504,1.0,Na,0.01,As,33,0.0396,0, 2.0052 
9,TY0206,0.9603,1.0,Na,0.01,Rb,37,0.0099,0, 1.8528 
10,TY0218,0.9603,1.0,Na,0.01,Sr,38,0.0099,0, 1.9120 
11,TY0242,0.9603,1.0,Na,0.01,Y,39,0.0099,0, 2.0808 
12,TY0244,0.9801,1.0,Na,0.01,Ag,47,0.0099,0, 1.5332 
13,TY0270,0.9702,1.0,Na,0.01,Cd,48,0.0099,0, 2.0720 
14,TY0286,0.9801,1.0,Na,0.01,In,49,0.0099,0, 1.5939 
15,TY0328,0.9405,1.0,Na,0.01,Sb,51,0.0396,0, 1.3531 
16,TY0342,0.9504,1.0,Na,0.01,Ba,56,0.0198,0, 1.8081 
17,TY0358,0.9702,1.0,Na,0.01,Au,79,0.0099,0, 1.5836 
18,TY0370,0.9603,1.0,Na,0.01,Hg,80,0.0198,0, 1.9687 
19,TY0382,0.9603,1.0,Na,0.01,Tl,81,0.0198,0, 1.8491 
20,TY0412,0.9504,1.0,Na,0.01,Pb,82,0.0296999999999999,0, 2.2560 
21,TY0442,0.9405,1.0,Na,0.01,Bi,83,0.0396,0, 1.3766 
22,TY0448,0.98,0.99,Na,0.01,F,9,0.01,0, 1.2091 
23,TY0454,0.98,0.99,Na,0.01,S,16,0.01,0, 1.4910 
24,TY0490,0.98,0.97,Na,0.01,Cl,17,0.03,0, 1.3233 
25,TY0520,0.98,0.96,Na,0.01,Br,35,0.04,0, 1.7960 
26,TY0532,0.98,0.98,Na,0.01,Te,52,0.02,0, 1.6243 
27,TY0550,0.98,0.99,Na,0.01,I,53,0.01,0, 1.8551 
