,ID,alloying_atom,rate,vacancy,maxZT,improvement
0,TY0004,3,0.0099,2,1.4390511968530344,0.21773406352687052
1,TY0010,3,0.0198,2,1.5785429069765813,0.3074223560852736
2,TY0014,3,0.0297,2,1.704257485400183,0.3137440436219219
3,TY0020,3,0.0396,1,1.4269017510272766,0.048524004008889454
4,TY0028,11,0.0099,2,1.5348353118019,0.46594564141564554
5,TY0034,11,0.0198,2,1.554322641201354,0.6137920828222186
6,TY0040,11,0.0297,2,1.3686211821222791,0.25982907887360795
7,TY0042,11,0.0396,1,1.1061831218651854,0.0
8,TY0052,12,0.0099,2,1.5974877972278732,0.5155907421019548
9,TY0058,12,0.0198,2,1.6510039016195068,0.5954530629050141
10,TY0062,15,0.0099,2,1.2697815565662027,0.0810970918854712
11,TY0070,15,0.0198,2,1.3026314140254274,0.03853555079502602
12,TY0072,15,0.0297,2,1.1283381164128101,0.0
13,TY0078,15,0.0396,1,0.9572189717320597,0.0
14,TY0086,19,0.0099,2,1.491709280347378,0.24707080197920073
15,TY0092,19,0.0198,2,1.6015741603164715,0.5324918306842352
16,TY0098,19,0.0297,2,1.3574967809263563,0.224666718346195
17,TY0102,19,0.0396,1,1.1964970725759518,0.0724497751856239
18,TY0110,20,0.0099,2,1.5443253832178252,0.4571104134426518
19,TY0116,20,0.0198,2,1.7125079418844156,0.5868000015890116
20,TY0122,20,0.0297,2,1.5337142649536692,0.38273233307804233
21,TY0126,20,0.0396,1,1.1331468434917251,0.08366687709167886
22,TY0134,25,0.0099,2,1.6909257876169357,0.313240109576683
23,TY0140,25,0.0198,2,1.546333310727149,0.26224702322917826
24,TY0144,25,0.0297,2,1.573809214546754,0.3247962378413347
25,TY0150,25,0.0396,1,1.4215402438412954,0.21075872458292788
26,TY0154,32,0.0099,2,1.9684006180973683,0.0
27,TY0164,32,0.0198,2,1.8556610748987583,0.23756592979044378
28,TY0170,32,0.0297,2,1.7737358015597902,0.048652495003833174
29,TY0172,32,0.0396,1,2.392700820232706,0.0
30,TY0180,33,0.0099,2,1.717303957835978,0.28344351939711077
31,TY0184,33,0.0198,2,1.086374402737911,0.0
32,TY0190,33,0.0297,2,1.2553242560423776,0.0
33,TY0196,33,0.0396,1,2.005167618606328,0.0
34,TY0206,37,0.0099,2,1.852786394405935,0.397848573131649
35,TY0212,37,0.0198,2,1.7032466466059937,0.3856535094182074
36,TY0218,38,0.0099,2,1.9120384234722385,0.6064530286352887
37,TY0224,38,0.0198,2,1.9030320913824743,0.5757579068224747
38,TY0230,38,0.0297,2,1.7311291556849129,0.6035773505422815
39,TY0232,38,0.0396,1,1.373144045370143,0.0
40,TY0242,39,0.0099,2,2.0807844345523296,0.1975141933611857
41,TY0244,47,0.0099,2,1.533198574420743,0.0
42,TY0254,47,0.0198,2,1.3443830388020566,0.15809432408369894
43,TY0258,47,0.0297,2,1.343955060225643,0.36643785203990076
44,TY0264,47,0.0396,1,1.386946314831101,0.2710131878130779
45,TY0270,48,0.0099,2,2.071987985576652,0.5873068223734308
46,TY0276,48,0.0198,2,2.060766167304845,0.41861979617645373
47,TY0282,48,0.0297,2,2.029355798639053,0.15191351876972226
48,TY0286,49,0.0099,2,1.5938610342306774,0.0
49,TY0294,49,0.0198,2,1.5723954464671293,0.11174795650393388
50,TY0300,49,0.0297,2,1.5597393995636137,0.07178958862611418
51,TY0306,49,0.0396,1,1.495289558717495,0.12616798702244814
52,TY0310,51,0.0099,2,1.3177878570802097,0.1945491702975024
53,TY0316,51,0.0198,2,1.3053812671745288,0.3251361061902145
54,TY0322,51,0.0297,2,1.2462677710994023,0.1778454663935798
55,TY0328,51,0.0396,1,1.35314511202827,0.3032706599032662
56,TY0336,56,0.0099,2,1.6057614894199876,0.4428058766494547
57,TY0342,56,0.0198,2,1.8081146694970356,0.5429247641244155
58,TY0348,56,0.0297,2,1.6830399083378407,0.5026372487472637
59,TY0352,56,0.0396,1,1.3758443627371224,0.20471186471933045
60,TY0358,79,0.0099,2,1.5835695272890329,0.4260195651117502
61,TY0364,80,0.0099,2,1.7450152687391256,0.09251874339205379
62,TY0370,80,0.0198,2,1.9687327018294647,0.2506255089948939
63,TY0376,81,0.0099,2,1.5509381613049162,0.2165662849864054
64,TY0382,81,0.0198,2,1.8491422258651775,0.6937366749531102
65,TY0388,81,0.0297,2,1.5685564666997933,0.42552489745837896
66,TY0394,81,0.0396,1,1.5070815944097569,0.2640408752496508
67,TY0400,82,0.0099,2,2.0665511015531637,0.29702707633650416
68,TY0406,82,0.0198,2,2.018706561181002,0.6490573928214038
69,TY0412,82,0.0297,2,2.2559932729090306,0.9525683882071874
70,TY0418,82,0.0396,1,1.9272220807979954,0.3898405832677636
71,TY0424,83,0.0099,2,1.280144091057545,0.025415919207324
72,TY0430,83,0.0198,2,1.1571652695081847,0.17229709295813556
73,TY0436,83,0.0297,2,1.245254783900842,0.11254268015896307
74,TY0442,83,0.0396,1,1.3765572497479812,0.3669161248106294
