,ID,alloying_atom,rate,vacancy,maxZT,improvement
0,TY0002,9,0.01,2,1.2090516705398062,0.3252540833852463
1,TY0008,16,0.01,2,1.491021498777173,0.3246099904406905
2,TY0014,16,0.02,2,1.2957348777952076,0.13120025133316626
3,TY0022,16,0.03,2,1.4387820153137358,0.15063337055221382
4,TY0026,16,0.04,1,1.2798827854452628,0.12279726748779796
5,TY0028,16,0.05,0,1.2798827854452628,0.07203653143936362
6,TY0032,17,0.01,2,1.2356920080514566,0.2935990976259698
7,TY0038,17,0.02,2,1.2569450975877021,0.3080042530482776
8,TY0044,17,0.03,2,1.3233194063494031,0.4605886256038776
9,TY0050,17,0.04,1,1.2903187852869071,0.20469964312734912
10,TY0052,17,0.05,0,1.2903187852869071,0.2989937407326755
11,TY0056,35,0.01,2,1.5991480307025678,0.19945181294138314
12,TY0062,35,0.02,2,1.557577666984991,0.5387065100866659
13,TY0068,35,0.03,2,1.5747717304361988,0.4743967414286945
14,TY0074,35,0.04,1,1.7959609179348524,0.20231242137331074
15,TY0076,35,0.05,0,1.7959609179348524,0.3649348708593414
16,TY0080,52,0.01,2,1.5888268332731663,0.3689029120115048
17,TY0086,52,0.02,2,1.62432264780748,0.329431112300844
18,TY0094,52,0.03,2,1.6096144774889585,0.2830483913315476
19,TY0098,52,0.04,1,1.402242314359251,0.10927165212501944
20,TY0100,52,0.05,0,1.402242314359251,0.2575606097880063
21,TY0104,53,0.01,2,1.8551346034781537,0.5611918290264726
