,ID,alloying_atom,rate,vacancy,maxZT,improvement
0,TY0004,3,0.0099,2,1.4410138817903737,0.22259372554538404
1,TY0010,3,0.0198,2,1.5785429069765813,0.3074223560852736
2,TY0014,3,0.0297,2,1.704257485400183,0.3137440436219219
3,TYN0020,3,0.0396,1,1.4269017510272766,0.048524004008889454
4,TY0028,11,0.0099,2,1.5348353118019,0.4659649562250512
5,TY0034,11,0.0198,2,1.554322641201354,0.612379487104118
6,TY0040,11,0.0297,2,1.3686211821222791,0.25982907887360795
7,TYN0042,11,0.0396,1,1.1061831218651854,0.0
8,TY0052,12,0.0099,2,1.5974877972278732,0.5181196205212422
9,TY0058,12,0.0198,2,1.6510039016195068,0.5954530629050141
10,TY0062,15,0.0099,2,1.2710369519994418,0.08328953756665514
11,TY0070,15,0.0198,2,1.3026314140254274,0.03853555079502602
12,TY0072,15,0.0297,2,1.1286637270853774,0.0
13,TYN0078,15,0.0396,1,0.9572189717320597,0.0
14,TY0086,19,0.0099,2,1.491709280347378,0.2470943082482382
15,TY0092,19,0.0198,2,1.6015741603164715,0.5324352305792506
16,TY0098,19,0.0297,2,1.3574967809263563,0.224666718346195
17,TYN0102,19,0.0396,1,1.1964970725759518,0.0724497751856239
18,TY0110,20,0.0099,2,1.5443253832178252,0.4587447506201159
19,TY0116,20,0.0198,2,1.7125079418844156,0.5868000015890116
20,TY0122,20,0.0297,2,1.5337142649536692,0.38273233307804233
21,TYN0126,20,0.0396,1,1.1331468434917251,0.08380819677132245
22,TY0132,25,0.0099,2,1.689177165709801,0.31719138068243624
23,TY0140,25,0.0198,2,1.544434681984802,0.27306247716793797
24,TY0144,25,0.0297,2,1.573809214546754,0.3247962378413347
25,TYN0150,25,0.0396,1,1.4215402438412954,0.2125301707032512
26,TY0154,32,0.0099,2,1.967509296135177,0.0
27,TY0164,32,0.0198,2,1.8722707306609452,0.2527664447639886
28,TY0170,32,0.0297,2,1.7737358015597902,0.048970584949376006
29,TYN0172,32,0.0396,1,2.3911795046559012,0.0
30,TY0180,33,0.0099,2,1.5985029504502686,0.15924116720476467
31,TY0184,33,0.0198,2,1.086374402737911,0.0
32,TY0190,33,0.0297,2,1.2553242560423776,0.0
33,TYN0196,33,0.0396,1,2.005167618606328,0.0
34,TY0206,37,0.0099,2,1.852786394405935,0.3997760533456347
35,TY0212,37,0.0198,2,1.7032466466059937,0.3856535094182074
36,TY0218,38,0.0099,2,1.9120384234722385,0.6064530286352887
37,TY0224,38,0.0198,2,1.9030320913824743,0.5757579068224747
38,TY0230,38,0.0297,2,1.7311291556849129,0.6035773505422815
39,TYN0232,38,0.0396,1,1.373144045370143,0.0
40,TY0242,39,0.0099,2,2.0807844345523296,0.19640361372469783
41,TY0244,47,0.0099,2,1.5397511893786455,0.0
42,TY0254,47,0.0198,2,1.3444404413641187,0.16097735674244595
43,TY0258,47,0.0297,2,1.343888345101793,0.3661921640663244
44,TYN0264,47,0.0396,1,1.3903086939981402,0.274411307285928
45,TY0270,48,0.0099,2,2.071513893638225,0.5696668784569126
46,TY0276,48,0.0198,2,2.060766167304845,0.41878149538906606
47,TY0282,48,0.0297,2,2.029355798639053,0.15191351876972226
48,TY0288,49,0.0099,2,1.5800793989107582,0.007654788997209394
49,TY0294,49,0.0198,2,1.5730242409478614,0.1321349166497241
50,TY0300,49,0.0297,2,1.5603808627797071,0.09721653422718757
51,TYN0306,49,0.0396,1,1.4958147849533538,0.13961563793223264
52,TY0310,51,0.0099,2,1.3177878570802097,0.19508896091933048
53,TY0316,51,0.0198,2,1.3059967279721363,0.32993045768586404
54,TY0322,51,0.0297,2,1.2321157729255996,0.16942124811455184
55,TYN0328,51,0.0396,1,1.351038528062626,0.30058996367364244
56,TY0336,56,0.0099,2,1.6057614894199876,0.4428058766494547
57,TY0342,56,0.0198,2,1.8081146694970356,0.5429247641244155
58,TY0348,56,0.0297,2,1.6830399083378407,0.5026372487472637
59,TYN0352,56,0.0396,1,1.3701789698851807,0.19860098843822827
60,TY0358,79,0.0099,2,1.6051268751502716,0.44518806905616115
61,TY0364,80,0.0099,2,1.7441306525488667,0.09113682266142331
62,TY0370,80,0.0198,2,1.9687340665167545,0.2506268736821837
63,TY0376,81,0.0099,2,1.5521037572975889,0.20237638792361512
64,TY0382,81,0.0198,2,1.7711282266402582,0.6160575054983504
65,TY0388,81,0.0297,2,1.5677841589571357,0.4248883553797562
66,TYN0394,81,0.0396,1,1.5073388753335824,0.2676659662439933
67,TY0400,82,0.0099,2,2.0615423782070867,0.2911412363299801
68,TY0406,82,0.0198,2,2.0089541647988467,0.6082843141119221
69,TY0412,82,0.0297,2,2.2807656080358316,0.9736112547384195
70,TYN0418,82,0.0396,1,1.939613921281125,0.4022324237508932
71,TY0424,83,0.0099,2,1.280144091057545,0.025415919207324
72,TY0430,83,0.0198,2,1.1568104127602878,0.16811682578617393
73,TY0436,83,0.0297,2,1.2172540605457218,0.0854278945081357
74,TYN0442,83,0.0396,1,1.3765572497479812,0.3669161248106294
