,ID,alloying_atom,rate,vacancy,maxZT,improvement
0,TY0014,3,0.0297,2,1.704257485400183,0.3137440436219219
1,TY0034,11,0.0198,2,1.554322641201354,0.6137920828222186
2,TY0058,12,0.0198,2,1.6510039016195068,0.5954530629050141
3,TY0070,15,0.0198,2,1.3026314140254274,0.038535550795026
4,TY0092,19,0.0198,2,1.6015741603164717,0.5324918306842352
5,TY0116,20,0.0198,2,1.7125079418844156,0.5868000015890116
6,TY0134,25,0.0099,2,1.6909257876169357,0.313240109576683
7,TY0172,32,0.0396,1,2.392700820232706,0.0
8,TY0196,33,0.0396,1,2.005167618606328,0.0
9,TY0206,37,0.0099,2,1.852786394405935,0.397848573131649
10,TY0218,38,0.0099,2,1.9120384234722383,0.6064530286352887
11,TY0242,39,0.0099,2,2.0807844345523296,0.1975141933611857
12,TY0244,47,0.0099,2,1.533198574420743,0.0
13,TY0270,48,0.0099,2,2.071987985576652,0.5873068223734308
14,TY0286,49,0.0099,2,1.5938610342306774,0.0
15,TY0328,51,0.0396,1,1.35314511202827,0.3032706599032662
16,TY0342,56,0.0198,2,1.808114669497036,0.5429247641244155
17,TY0358,79,0.0099,2,1.5835695272890329,0.4260195651117502
18,TY0370,80,0.0198,2,1.9687327018294647,0.2506255089948939
19,TY0382,81,0.0198,2,1.8491422258651773,0.6937366749531102
20,TY0412,82,0.0297,2,2.25599327290903,0.9525683882071874
21,TY0442,83,0.0396,1,1.3765572497479812,0.3669161248106294
22,TY0002,9,0.01,2,1.2090516705398062,0.3252540833852463
23,TY0008,16,0.01,2,1.491021498777173,0.3246099904406905
24,TY0044,17,0.03,2,1.3233194063494031,0.4605886256038776
25,TY0074,35,0.04,1,1.7959609179348524,0.2023124213733107
26,TY0086,52,0.02,2,1.62432264780748,0.329431112300844
27,TY0104,53,0.01,2,1.8551346034781535,0.5611918290264726
