,ID,Sn_ratio,Se_ratio,dopant1_num,dopant1_ratio,dopant2_num,dopant2_ratio,dopant3_num,dopant3_ratio,direction,Temp,category,el_cond,seebeck,thermal,ZT
0,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,300,1,29.80295295715332,208.25093688964844,0.7855481624603271,0.04936074009977806
1,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,320,1,30.9593864440918,227.61565246582032,0.7459537744522095,0.06880732204259216
2,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,340,1,34.29522438049317,232.03380432128907,0.6968700408935546,0.09008724228007
3,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,360,1,35.06806411743164,233.11680297851564,0.6062162637710571,0.11317066452114469
4,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,380,1,43.23985214233399,248.44960327148436,0.6539516687393189,0.1550953437524985
5,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,400,1,43.508340454101564,249.94835815429687,0.6258571863174438,0.17372320895789356
6,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,420,1,45.01643447875976,253.24620361328124,0.6196153283119201,0.19569697764248317
7,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,440,1,42.401048278808595,259.5496032714844,0.558131891489029,0.22518173984158432
8,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,460,1,42.02315902709961,259.47633666992186,0.5164017021656037,0.25203124164359186
9,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,480,1,39.40660934448242,286.4175048828125,0.5185711801052093,0.29922718238557316
10,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,500,1,39.154405212402345,283.5936645507812,0.49661622643470765,0.3170463654375385
11,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,520,1,38.50296287536621,283.9451049804687,0.49920969009399413,0.3233577391642322
12,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,540,1,38.05375633239746,307.9406311035156,0.482002055644989,0.40427454159981935
13,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,560,1,36.785560607910156,308.59974365234376,0.47468734383583067,0.41328426940610546
14,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,580,1,34.677055740356444,302.5891357421875,0.4415567934513092,0.4170520891608718
15,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,600,1,34.69644355773926,312.63860473632815,0.42789260149002073,0.4755395493734694
16,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,620,1,33.118967819213864,315.2063903808594,0.4206351459026337,0.48501252374034504
17,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,640,1,34.546800994873045,317.8315490722656,0.41242308616638185,0.5415503660206626
18,TY0446,0.99,0.99,11,0.01,9,0.01,0,0,0,660,1,34.080295181274415,318.56858520507814,0.40299940705299375,0.5664332902236938
